*dos;segundo;quinta;una
grave;*esdrujula;aguda;barrio
*No sé qué hacer;No se qué hacer;No se que hacer;No sé que hacer
¡Ahi, mamá, que me den más pizza!;¡Hay, mamá, que me den más pizza!;¡Ahí, mamá, que me den más pizza!;*¡Ay, mamá, que me den más pizza!
*interrogativa;enunciativa afirmativa;exclamativa;enunciativa negativa
nuevo;arrugado;*llover;mojada
cabreado;*patrullar;legal;corrupto
El niño se callo de la cama y se lastimó la rodilla;*El niño se cayó de la cama y se lastimó la rodilla;El niño se cayo de la cama y se lastimó la rodilla;El niño se calló de la cama y se lastimó la rodilla
enunciativa negativa;*enunciativa afirmativa;interrogativa;exclamativa
exclamativa;enunciativa afirmativa;interrogativa;*enunciativa negativa
¡Vete para hayá!;*¡Vete para allá!;¡Vete para ayá!;¡Vete para hallá!
Ó sea;Ósea;Osea;*O sea
Porque;Por que;Porqué;*Por qué
Dos;Tres;*Cuatro;Cinco
Cuate;Amigo;Niños;*Chabelo
*A ver;Aver;Haber;Ha ver
da;compró;regaló;*regalará
despertarán;descubrirán;*descubrieron;hallan
*trabajas;sacas;compras;irás
